NAME	DESCRIPTION	Naive WT 1	Naive WT 2	Naive KO 1	Naive KO 2	Activated WT	Activated KO	Memory WT	Memory KO	WT Foxp3+	KO Foxp3+
Sumo2 ; LOC236622	170930 ; 236622	24159.63618	44843.4154	20276.00222	43784.5938	29501.43644	30451.3108	33839.4378	34931.9183	20580.40122	19868.13272
Sumo2	170930	10569.44072	17822.9074	10265.18602	18225.3749	17423.76842	19281.09442	15307.98336	16567.61284	11278.2364	11432.92896
Vps35	65114	3974.56442	3932.61234	4033.063196	3619.58716	9027.67588	9674.3197	3118.18129	3290.538464	2878.14934	2763.67689
Vps35	65114	74.68265	106.6020616	111.8250482	102.297119	109.222705	61.56169816	93.94855	180.2307888	259.0000148	160.1169672
Cct8	12469	8811.05124	4053.651624	7627.8386	3982.054996	20852.16696	20420.3777	2742.71824	2605.46156	3046.748424	3042.799192
Pgc	109820	3.54981552	53.0620145	4.569468476	7.12517214	47.0174688	6.14042565	112.9865818	52.46154002	36.45588392	22.21442408
Ganab	14376	2420.154608	1170.328204	2044.20264	1232.349232	2993.12277	2566.3829	1156.932872	727.692394	1156.949744	1089.444354
Ublcp1	79560	3142.268882	1347.201302	2513.715472	1244.86944	5872.17454	4295.935098	858.449654	779.692342	1028.226892	893.625702
Ublcp1	79560	719.247292	108.1317822	432.703271	207.7496794	1000.131127	818.565948	189.800898	225.461572	413.6848862	307.035102
Ublcp1	79560	544.3505564	322.3876082	280.2607402	397.8899784	801.559046	604.123346	249.8948328	247.9231028	425.7332036	364.5906296
Rnf34	80751	2000.7306	968.692412	2013.739208	1050.657624	2230.340464	2054.366022	1039.22825	844.461656	894.21859	871.844098
AL033326	24105	2914.944952	2837.048778	3000.99859	3545.58753	3082.633096	3138.70186	2344.905932	1833.231156	2169.16385	2030.456178
Pnpo	103711	924.726792	1101.490962	870.61074	1077.835086	1250.72913	1150.148848	1046.264096	719.615368	769.382329	535.454195
Spin	20729	3651.668158	2177.167764	3105.58834	2592.850258	1791.672608	1653.19145	1952.474238	1749.538636	1834.143058	1564.89095
Spin	20729	406.044216	477.9405662	453.519693	517.89825	385.1877748	415.974498	352.4519064	333.615384	410.031521	355.791371
Dazap2	23994	14342.8946	11016.62938	12618.20398	14002.59376	11070.75372	9938.51524	9968.31208	11556.38316	9328.8951	7887.70884
Ddr1	12305	107.040593	225.5374516	121.8524922	225.0536618	81.2707516	101.710632	365.2818784	186.7692364	105.4810948	83.0155976
Ddr1	12305	32.90405782	77.4418658	22.4665554	70.539205	39.74672904	12.75319256	108.9306566	56.2307722	71.2016826	48.68421002
Wbp11	60321	3455.19912	2373.64065	3806.3676	2646.08534	5700.90968	5308.79256	2040.711542	1663.769232	1279.920206	1175.994088
Gja1	14609	13.78966764	34.22738872	4.442539088	13.94497958	1716.218286	1716.642676	33.6062638	21.3076932	40.2647024	28.41715588
Gja1	14609	42.3247218	50.289401	26.5283044	7.939478204	44.5938874	46.7617026	56.70022524	73.8461577	34.123953	21.85380136
Slc16a1	20501	3243.5754	1369.86062	2338.29862	1530.690518	16143.46852	15491.50854	936.174592	1076.307652	1156.794122	967.842152
Cx3cl1	20312	47.3763836	24.2842359	32.1132102	18.93260104	31.5065508	27.86808476	6.87024584	59.0000002	31.32563116	69.38401542
Cx3cl1	20312	95.7084772	40.53746936	30.71698412	24.42916416	34.7379939	121.2340372	82.4429486	11.23077132	54.8004188	59.43080156
Clps	109791	9.14760028	43.1188602	13.32761682	36.84732024	40.2314431	39.3617026	49.0022376	13.15384706	55.96638796	16.08382008
Plat	18791	119.3284114	64.821706	56.3567794	39.0866594	20.1965092	15.27233978	38.98657662	50.0769248	9.94957898	39.95711696
Sfrs2	20382	1155.32833	2963.6334	1363.732532	3681.372942	4063.21346	4848.26022	1975.071618	2797.0002	2346.00202	2128.113016
Tpbpa	21984	7.37269326	6.69250635	1.39622645	18.22008094	1.938864676	7.242551976	4.88366922	8.76923014	44.92857238	8.65497081
Tpbpa	21984	16.92988798	4.493539962	2.91938251	1.221458282	2.100436424	3.463829518	5.38031282	1.615384702	4.35294122	4.0389866
Uhrf1 ; LOC434907	18140 ; 434907	140.2177012	143.6020542	169.8319092	127.8459446	8166.65924	7213.58401	444.496651	1095.461553	394.3298384	780.461942
Uhrf1	18140	49.2878184	62.81394836	39.0943406	9.059147636	2290.930406	1472.914722	85.8366922	302.3077156	139.5273108	196.179328
Gsn	227753	829.974232	1764.240216	575.6261162	1919.52152	126.3493464	121.863829	1185.572796	778.692306	693.205878	639.530348
Api5 ; LOC329706	11800 ; 329706	2645.56808	2381.1942	2380.0583	2780.03829	4611.58898	3807.850782	2551.344398	1923.538462	2295.865614	2373.8423
Atp6v1b2	11966	5116.10174	1507.630342	3727.54428	1855.394822	5848.58704	5028.850264	1478.42713	952.461474	1373.58615	1164.165706
