,Treg.KO,Treg.WT,Memory.KO,Memory.WT,Naive.KO,Naive.WT,Activated.KO,Unactivated.KO,Activated.WT,Unactivated.WT
Map3k2,3.12704406543492,3.31578996337417,3.61945095697231,3.32774879609811,3.47240580777924,3.63509912430732,3.9390022240441,3.82214866267461,3.55637940439072,3.74438173264758
Mapk10,3.38662384855952,2.89167695468985,3.36626050321074,2.86869072407258,3.16249681601561,3.04380199230693,2.86631634971332,3.14948772369397,3.25079915849816,3.01024706458038
Mapk8,5.8337427978053,6.07676012990957,4.90449930506725,5.49191371706556,5.66293657820897,5.20990068165822,5.78093650714437,5.61396038131548,4.8648341567716,5.69685918628289
Mast4,5.62742824960435,5.2566909785916,4.41628569803444,5.14513776834282,5.20315446761645,5.54384117218224,4.60517502691281,5.40698548704934,5.48185442826217,5.9270100446584
Mcam,4.91722423900964,4.65208152510006,5.24687653222305,5.20316780311111,5.56125781967491,5.06097888270851,5.93856679293711,4.87079005348478,5.01199092107443,4.75760302278384
Mcm5,4.98636330568502,4.71523954172912,4.70568779778682,4.61012039975782,4.22441334474887,3.84029922233174,5.13251285451833,3.96598773405716,5.85130173800654,4.03782193494489
Mcoln3,6.44229252421411,6.11322455622618,5.37319228497992,5.44336006251817,5.75800339875711,5.56605798812138,5.05549514878327,5.19198758097284,5.79370458209642,5.45963642346175
Mcu,5.10628570840505,4.73357642898836,4.31618067787183,3.55989217415398,4.02482079602104,4.19729055335661,4.85263386366392,3.79478175211804,4.30670894845454,3.59069539376847
Mdh1b,3.87359310675825,4.02772096199539,3.78694779397609,3.90731066423271,4.17231770912379,4.05579982081063,3.37023030409425,3.72007976750643,3.85144298593661,3.44068730821951
Mecom,3.12281462839412,2.96088230888756,2.97757800445982,3.15904796083107,3.16745324900137,3.11814571984294,3.24607425871251,2.80010797016364,2.80010797016364,2.79094566109561
Med14,5.85044593243699,6.17960211296586,6.218279136236,5.91540863411739,6.30942551050663,5.58142441427978,5.77241201295513,6.32914218295715,6.42786092152269,6.41747462974548
Mef2a,3.89337000304236,4.12254395665429,3.4688258131814,3.68319142667714,4.10373733996171,4.22070180963815,3.97770878267424,3.89717455579153,3.39654291324841,3.93620837589459
Megf9,3.46235144885098,3.35239617958109,3.55448178613472,3.29310549325937,3.54844704808766,3.49836083766217,3.78934819235126,4.1760902669497,3.38665312279943,4.13484369550998
Mei4,2.82011889294739,2.93460672530595,2.83999271308583,3.38707408737851,3.11947484925532,3.24235289739216,3.42728457466045,2.9308916495506,4.00839772691951,3.07572112076135
Mettl22,2.87059806370617,3.01193902205366,3.43034695449102,3.31800654393655,3.66063430050778,3.69479519440497,4.20448847373982,3.93608533601551,3.79238467468727,3.66063430050778
Mettl7a1,6.06909388212988,5.9455723044835,8.01020366882781,7.69599223635216,5.97784735605519,5.68849733989028,4.12399765663603,6.05555954258278,3.60556004536084,5.3121261049376
Mfsd9,3.8055490698174,4.50358167151245,4.70019480677819,4.60825699859163,5.14604723079134,4.64168320933748,3.92734307029241,4.55708915968744,4.47705163690468,4.90607646753753
Mgll,4.18524530478576,4.22895749989042,5.25097795286942,4.88884555565958,4.27195034226933,4.43059810422467,3.86838269402318,4.09837924958107,4.60135879906833,3.81809639897414
Mia2,3.61145381573469,3.65936692512687,3.42991120076304,3.76496240456954,3.67458691824969,3.7204889599405,3.69330476749114,3.56108844499337,3.30463330653513,3.55252847592922
Mid1,3.25230501116573,3.59024173395272,3.83249386300738,3.52362302951943,3.55928559434866,3.57708939928557,4.00056980957848,3.59428546428817,3.49764183694443,3.4607829236355
Mis18bp1,3.43538406236928,3.41914566506335,3.84266807244807,3.79233713377646,3.425898996629,3.35043547518121,3.66636054746139,3.50404933595824,3.29189465268199,3.31012973519933
Mkln1,3.63744247916815,3.58259519302152,3.57155225855789,3.57814541626469,4.07921648940954,3.51571596395086,3.95369618320361,3.85003255101315,3.57913016364093,3.90624851470714
Mmp8,4.29333536679851,4.40389094950914,4.62207369960962,4.25803809041157,4.62492035489204,3.93620837589459,4.14174887335025,4.34994027855186,4.71575543127535,4.36443318876738
Mn1,3.7452276749018,3.80048359953229,3.69687506209326,3.74142551846821,3.77356643521421,3.92043933792002,3.35649404784113,3.87139077575421,3.80638754461788,3.76966407163845
Mob1b,4.8738839490626,5.38104053341654,5.11073275147416,4.85696205283129,4.93182682413062,4.65524850679393,5.70458504628767,4.48678701427614,5.02614682947767,4.12027146699112
Mog,3.2730625361248,3.52719278288567,3.2443848312674,3.08163828327649,3.2420846852345,3.06133689025914,3.49036187313926,3.33856849226378,2.97392332795439,3.16823740296417
Mphosph9,5.87675899302979,5.66883031015846,5.6066944394143,5.19737540220832,5.81322278660872,6.49790027265183,5.33795981453946,5.28357144410134,4.80195437968333,5.4570844338805
Mpzl2,2.89997923763894,3.00754106833461,3.2070334090263,3.26054541702794,3.02926406010777,2.96906450083408,5.28532674424154,2.8248478401202,3.69092240368671,2.78238335598147
Mrpl1,3.67260098485828,3.68482108522567,4.05734079755271,3.89061052402288,3.94795155798302,4.20660137947122,4.49298600150293,3.99726220271039,4.04262823145796,4.19524191673009
Mrpl47,4.50840608104998,4.19200460313307,4.49791635254382,4.46607964154962,4.50910659186343,4.23807121539213,4.44764191379469,4.08478076657292,4.03452319934012,3.92195998446771
Mrvi1,4.92206192444774,4.61149877831693,5.147565417317,5.01314595644281,4.98135972845284,5.33916269565314,4.10030226770755,4.83179366447489,3.47445287853571,5.07392539302514
Ms4a1,3.6535357102025,3.21837720480392,5.45007696510502,4.44915318175544,5.78395187189109,4.13853196688661,2.70238145474927,3.16118978636791,3.07242342802049,3.33962815663738
Msh3,3.67343849051853,3.4047874973444,3.47226561775157,3.45481301932467,3.82853971327105,3.61725271977458,3.58617107011666,3.41158580430486,3.23934322836712,3.57196298966931
Msi1,3.05062215651211,3.58661282789907,3.12317438015973,3.29369968604564,3.69786290969468,3.08795952881159,2.85584782601452,3.1269997656774,3.22208444995285,3.22013313467008
Mtl5,4.2272705550299,3.97349569830502,5.737711107452,4.73446250982641,4.39016773824678,3.95604895471751,4.14824690105227,4.09715498095726,3.69433518705169,3.70068634191113
Mtmr7,7.01710067243036,7.47808711450133,5.77976419131364,6.71571001622145,4.63573293774127,4.95036801027921,6.34973383015262,4.90720902812103,5.76002277881926,4.66555099935215
Mto1,3.41804829323005,3.14855252657528,3.54844088636007,3.4625400980954,3.69786290969468,3.71815568683808,4.5733418895609,4.77492198838984,5.14700780998108,4.08496798602656
Mtor,4.55382432920943,5.06371509718289,4.7440337032394,4.64602099479847,5.81053363580171,5.6057607422251,5.22991724542264,5.58706846204187,4.70018766778981,5.3439832080589
Mxd4,8.39849856730299,8.47194374237422,7.460509147966,7.88641162511555,6.8223635566775,6.95515386429981,5.55694450393642,6.72756685852107,5.74808050931846,6.43804734303777
Mybl1,3.13951888391999,3.08638941676104,3.51466832078702,3.45383313455953,3.30897918245503,3.28483257918455,4.60788631774149,3.0168434010933,4.6979773868487,3.06764104399236
Myl4,5.44174334481175,5.51520000191261,5.42256776422242,5.46644831025997,5.46192907545286,5.39868512032783,5.21521923255851,5.41143364318209,5.97446035118982,5.47758547711394
Myo1f,7.74525675795175,7.8227629903459,9.74739477888236,9.30624176246554,4.31523326171384,3.86434594377868,3.37594793282553,4.33949537691501,2.78213285896867,3.57390511224138
Myo5b,5.13354555165696,4.63808322266646,5.11536838481499,5.13174118036011,5.14192598095015,4.74200898064525,4.8011432510032,4.58069086741592,4.36182673751374,4.39531766881002
Myo6,6.28264044304704,6.32188738785984,7.18221618959612,6.67759959232117,7.80146410790321,7.67471013311071,5.22772085239349,8.22319000347921,4.70797297135232,8.66390679374002
Myt1l,5.75304736871517,5.29452119967276,5.61052486575199,5.51945981864139,5.35442441847871,5.11402747632775,5.69395317604526,5.1454621023703,5.16272130527728,5.08574747777768
N28178,4.86064511074822,4.82424151974503,4.848732061602,5.09882964327339,4.82582400258634,4.9339512499139,4.37026897759509,4.53566329102997,4.930575475565,4.86015729300363
Nab1,4.16237670037648,4.60388678430758,5.53191902405736,5.09046376613328,5.85415402698615,5.48714975993521,5.19644176957073,6.75946858682775,4.69569693068141,6.35160617708247
Nav2,4.55182227953088,4.6974046045145,4.72813187608446,4.78392717657836,4.63853286332141,4.98375639061713,4.5213188933862,4.48983959900765,3.99385269079935,4.17503771144532
Nbl1,5.19734402329459,5.24130888691899,5.32771557673378,5.7097568767221,5.05263805128187,5.34351288499289,5.16823418876313,5.31276089351393,5.77510111073133,4.89585056803608
Nckap5,3.84124176124363,3.75999014680747,3.64688829801261,3.30235453648678,3.26423930995949,3.69869630178757,3.28926506393408,3.35741404356562,2.91902896274051,3.32581936132363
Ncoa7,4.46869824898906,3.59353483320547,4.37557598233244,3.963183110281,4.71037016838447,4.88595019982323,5.25550912738635,5.93463585070271,4.75703638639868,5.94552525956292
Ncrna00085,3.59738828034559,3.5126516241669,3.74543005850212,3.70442149622624,4.03250014818795,3.9229967827374,3.71391137944005,3.57219218791088,3.36505411142897,3.46690987009999
Ncrna00086,4.1543752241495,4.97512555382535,4.69391333920684,4.50845450344023,4.60895750447866,4.32084324674032,4.85162581494112,3.56542273285382,5.68847467912773,3.61433397318498
Ndn,3.33358815681709,3.14751304251344,3.56544904562194,3.31172113746968,2.97583976398986,3.13770574134243,4.11180789785094,3.18831824681889,3.67713572269405,3.21628082718925
Ndst1,4.84076287062237,5.03557312482577,4.81393392847297,4.45426561136301,4.68710505760029,4.53350568347104,4.6702604870541,4.3280356487844,4.24374839397746,4.40516450903564
Ndst3,3.13536968292538,3.35639328858808,3.41557530800867,2.87526972813402,3.17800320742659,3.00386098325541,3.35959151374623,3.11180059356224,3.04326571347951,3.04840739778974
Ndufa12,5.78937055603482,5.37869148145181,4.21832798320303,4.60774320500441,4.6230115955264,5.06870828374699,5.56125781967491,4.92349093104473,5.0323614006398,5.41631058817401
Nebl,3.79903298468827,3.84108762314131,4.92823706356512,4.13645273841724,3.32406523828763,3.65021219704029,6.01545974172985,3.78694779397609,5.32872481625023,3.67874781556307
Necab1,3.07404495312932,3.03973433279477,3.14526388119467,3.04764488344751,3.22414639558626,3.193506966663,2.83571042632439,2.87754501186181,3.1964803151464,2.77981180604671
Neo1,3.67401429575211,3.48747113095418,3.51192345113318,3.24053718357402,3.3411594917823,3.41289229381392,3.06625247358383,3.31369279935731,3.4984415268189,3.13897713458307
Neto1,2.96168942323131,3.06621530725481,3.06280845613906,3.64428430162503,2.93782566944478,3.1878306419018,3.46709496845211,3.1345748755979,4.04740989069572,3.23113527532744
Nfatc4,3.79519902162354,3.57090979805946,3.48706944778184,3.22701849703206,4.10225523227335,3.71842723888077,3.26259900862357,3.14684296912422,2.8817377712977,3.15490161146392
Nfia,3.66920819130591,3.43675078081952,3.47226561775157,3.30829566091403,3.29257772036871,3.12914099988421,3.48009912554786,3.32889517597768,2.99862653576893,3.20667671042921
Nfib,3.29782027328494,3.30842113664526,3.10758893146677,3.21261097395133,3.40171869804575,3.29230193701145,3.0338491068055,3.153107671161,3.37402210269343,3.15490161146391
Nkd1,5.47069401639584,5.31898432861328,5.79252016747385,5.24938245318414,5.92336177061578,5.69930251682515,5.23387052364212,5.09984215157797,4.614857418033,4.84746179952807
Nkg7,8.70669842565178,8.5165288334742,12.2121167022726,11.9830170456109,7.17456316962685,5.75920781772403,11.0498951633634,7.34649982832374,9.48732952461429,6.61876148719067
Nme7,3.08837834022462,3.2337156670105,3.10947341648903,3.49587256604029,3.07289293737734,3.51751480332903,3.67493291527754,3.1190247116737,3.31034685017931,3.10661485001215
Nmrk1,3.03853532903423,3.0887641808286,3.09217203407689,3.08487302010502,3.51506952346879,3.42052562141108,4.70590126393097,3.82880102547684,3.87944328118425,3.77876586032056
Npas2,3.74711109046072,3.52150641355204,3.89842214282988,4.54788136934416,3.99253807905843,3.78337775556279,4.1818597980371,3.77396489530417,3.78360920820817,3.81535888833766
Nphp1,3.47445287853571,3.44879715117595,3.99772965442105,3.68185381485831,3.34524263063482,3.69643593362465,4.00108266310066,3.48795454377297,4.60825699859163,3.39265374596117
Nppa,3.3724756591159,3.63665315754962,3.74961798467816,3.35768262183917,3.11003258498033,3.90494582756158,3.68613348223189,3.51439305322057,3.3050998979914,3.16927524595928
Nr1d2,4.5586216437549,4.4858727467715,4.99567583772019,4.6228064563433,4.36160845096642,4.06081993898545,4.03521571483517,3.69617359375872,3.66644637242732,3.86400412332144
Nrg2,4.28695621851572,4.36958191617299,4.16855224192998,4.01004592618246,3.867554883593,3.93712315695913,4.20998718221399,3.73755778044716,3.69673955474382,3.84089846493337
Nrg3,3.13576430236155,3.0516108934463,3.29326918652468,3.14636418739088,3.59310325370076,3.60104861715285,3.11427842970163,2.83514938971837,2.77838007791364,2.94838775505884
Nrn1l,5.04379684552476,4.81255605829309,4.88130697500137,4.97541468900246,5.13671722296947,4.88640090160843,4.76205618928103,4.96356588228431,4.32183833945534,4.62803218578657
Nrxn3,3.28151612803799,3.78657638913999,3.44493774198382,3.1848912704896,3.38266814175326,3.41639307268196,3.56413149619718,3.83370988864343,3.05995635390825,3.35218566630589
Nsg2,7.46702867618619,7.59777368591125,6.82506164830413,7.06593684507136,8.59464804317921,8.09386406190249,5.51646910111734,9.86318597678636,6.27587939327383,9.61192330766345
Nt5e,11.1180195897387,10.9253836143392,9.46932946662767,10.5680735674388,7.94639316080541,8.04578352548367,4.8175489132851,7.24158929059391,5.60944384227192,7.60847218768436
Ntf3,3.72012036061386,4.06865774942066,3.99162383491293,4.11027621836382,4.03615513745615,4.32084324674032,4.27141984022688,4.08981940745623,3.76319676715878,4.02206740296995
Ntn4,4.5909019629612,5.42008335703615,4.16253152906001,3.92728298032172,4.49331851444612,4.68805341563937,3.94004871167476,4.29017878161115,4.44087651089059,4.75717523928804
Nts,3.69535882064028,3.31744190766595,3.7208777928004,3.67648916932789,3.52244380356294,3.2597451072352,7.4438989298512,3.45992717173524,6.36909681839722,3.30599266621145
Nudt6,5.00563947555286,5.06838162491545,5.54920822047893,5.85559508077948,5.10450583896132,4.97747364212301,6.25132574305191,4.62229384517909,7.75203485260953,4.83200557852287
Numa1,5.35701031815772,5.08027084583879,5.33674414428127,5.49886600160337,5.74652111475843,5.53435107471068,5.04113878076392,5.69398615980534,4.57774062781413,5.30285840818004
Nutm1,4.71212413195243,5.09561992356666,4.40985756341986,4.91443133910533,4.19438231970727,4.85818551562872,4.92349093104473,4.4365162961774,4.34977610784161,5.0042334704636
Nxf7,3.72502713711207,3.15095766311013,3.26886053736173,3.71539746389924,3.08219993837021,3.30993085570966,3.5209552329748,3.22104293499551,3.12235995551223,3.34936511694057
Ofa,3.31984928708719,3.27073302271019,3.03929829741127,2.95560524197652,3.21751407808195,3.13082427247978,3.21741368610489,3.10414629109903,2.87397002467176,3.33882811425621
Oit3,4.83314153016218,5.04360757422349,4.37557598233244,4.32970553090525,4.53431184519593,4.11333072182215,4.68674075939745,4.61450643000677,3.92919075449369,4.46296784074342
Olfm1,2.88350670996929,2.83442894704374,3.01489565972764,3.12379453915751,3.03623741728214,3.03089403842001,3.44698606084847,2.708432663465,3.04588845977902,2.83914038446873
Olfr74,3.21217291006722,3.15700334924712,3.22437950270001,3.39746487309111,3.58581927956422,2.67428815718313,3.21427668368667,3.11550089148102,3.66818839768724,3.08997585238457
Olr1,2.82320281172905,2.90607984171354,3.53991316282573,3.05717500539995,2.79486331643875,2.8812084065043,4.3459252251415,2.8321031979127,3.28097296951016,2.87465824393789
Oog3,3.3895014703374,3.43848201837555,3.32419040669855,3.38368248457146,3.0484022217249,3.29617850514371,3.78151323433309,3.486243488047,3.33040727766749,3.3914460243151
Oplah,4.78480458359929,4.79237592222993,5.80252950231469,5.52039128093034,4.7924052622919,5.69094672171916,4.67666422965664,5.37041662691605,4.10500238185288,5.94208194365627
Osbpl9,3.0416206923658,2.90552358248082,3.10725537182141,2.91307354407882,3.33065303080995,3.44665243896341,3.02604630137371,3.17199506185889,2.68780478937334,3.06371969584567
Otoa,5.69758329937766,5.62137405657946,5.33794988786342,5.2406953107281,5.62067476616894,5.59235902220679,5.22457611109429,5.04269936748428,4.71575543127535,4.95282848081293
Ovol2,4.66116124663617,4.81101433507077,4.96867549919077,4.23589417465274,4.76897664399957,4.86627124542139,3.91325692527402,4.32803939826478,4.53367396962312,4.24053785559799
Pacsin3,6.74320229728207,6.60051497877735,6.19815347090521,6.25475040536211,6.14758446603803,6.3221479011096,6.16567976122478,5.73979439995491,5.56708270342212,5.51617820545022
Paip1,5.63828448205185,5.57553554103112,5.08848595347715,5.38080741858441,5.23406181519665,5.62881078495868,5.1388279437972,5.5440309631763,4.66851786719003,5.56482458732298
Paqr3,3.67399270447378,3.60764343099652,3.67081001172722,3.94960906292199,3.70728394578034,3.81672676013945,4.58639981548183,3.488325003924,3.84813361873131,3.43261730917241
Parp12,8.47844691360256,8.61891941082044,7.98960403995561,8.22769433515868,8.33809105998622,7.47572831146879,5.04466372970553,8.75189961022312,5.61417926717877,8.14570749466444
Parvb,3.85536121660408,3.54010983979843,4.23968295700928,4.58119316574374,4.17858064233486,4.46415550593491,3.86285374723116,3.98932226929895,3.45119027295317,3.72296149479714
Pawr,3.83486887450253,3.72171701520885,5.5171951849923,5.08541063759425,3.84860371022983,4.12037001375607,4.0533364688728,3.63296984422028,4.52849819595028,3.51863481133263
