,"PROBEID","ENTREZID","SYMBOL"
708,"1785_at",5927,"KDM5A"
709,"41426_at",7988,"ZNF212"
710,"1345_s_at",5077,"PAX3"
711,"1898_at",23650,"TRIM29"
712,"40624_at",10215,"OLIG2"
713,"36826_at",2962,"GTF2F1"
714,"35572_f_at",56242,"ZNF253"
715,"525_g_at",5378,"PMS1"
716,"40126_at",5396,"PRRX1"
717,"1287_at",142,"PARP1"
718,"40050_at",9139,"CBFA2T2"
719,"41407_at",7936,"NELFE"
720,"1862_at",472,"ATM"
721,"1849_s_at",5926,"ARID4A"
722,"38337_at",7746,"ZSCAN9"
723,"35641_g_at",862,"RUNX1T1"
724,"32578_at",6945,"MLX"
725,"37694_at",23469,"PHF3"
726,"1789_at",10987,"COPS5"
727,"32655_s_at",10902,"BRD8"
728,"2044_s_at",5925,"RB1"
729,"41621_i_at",10781,"ZNF266"
730,"32859_at",6772,"STAT1"
731,"38377_at",7994,"KAT6A"
732,"721_g_at",3299,"HSF4"
733,"41483_s_at",3727,"JUND"
734,"1200_at",2736,"GLI2"
735,"706_at",2908,"NR3C1"
736,"40108_at",9689,"BZW1"
737,"35821_at",8841,"HDAC3"
738,"40675_r_at",3223,"HOXC6"
